rel_time(sec),velocity(c/s)
0.0,0.0
0.05,0.0001281992489845
0.1,0.0007034487772711
0.15,-0.0011240319432977
0.2,-0.0039847726730881
0.25,-0.0002618626166103
0.3,-0.0075956241594002
0.35,-0.0084706353048785
0.4,-0.0009882582308576
0.45,-0.0341131566913143
0.5,-0.0306671168937444
0.55,-0.0122852483251351
0.6,-0.0613547883134677
0.65,-0.0341138767056111
0.7,-0.0087136142923861
0.75,-0.044369607877304
0.8,-0.0065278183472171
0.85,-0.0308261742295171
0.9,-0.0098486604456614
0.95,0.0957694266676462
1.0,0.0373971212383226
1.05,0.0117517569099243
1.1,0.0774977484970887
1.15,-0.0162468606035578
1.2,-0.1523133034596764
1.25,-0.13251723335243
1.3,-0.0885717939947105
1.35,-0.1442110920236922
1.4,-0.2635099005026961
1.45,-0.1904984925986109
1.5,0.057754803389473
1.55,-0.2269230742988886
1.6,-0.2613596416495587
1.65,0.0385178746034708
1.7,-0.2841241544565505
1.75,-0.1085610609967543
1.8,0.0147071323396189
1.85,-0.0693135717091375
1.9,0.2637399717719262
1.95,-0.2075448238747443
2.0,-0.2031666007688221
2.05,0.4506161617323337
2.1,0.0361076400013485
2.15,-0.3406412453385203
2.2,0.1222733223577611
2.25,0.0410386886323487
2.3,-0.3296838666683053
2.35,-0.1866712367443837
2.4,-0.5892532848525769
2.45,-0.6255380874311245
2.5,-0.2591900024368401
2.55,-0.5294098972816303
2.6,-0.3320013486509609
2.65,0.1888724172640073
2.7,-0.2197549329334428
2.75,-0.5442362985808101
2.8,0.105887284398176
2.85,-0.9241463095913084
2.9,-0.6534643500306492
2.95,1.2072898569191153
3.0,0.3767960233619423
3.05,0.7069356747526767
3.1,0.5840314696141519
3.15,-0.5079876892139414
3.2,-0.3301740163325408
3.25,-0.5811393527580534
3.3,-0.1037855568159815
3.35,-0.3837701854294498
3.4,-0.5926971512208736
3.45,-0.9938186017083754
3.5,-1.3013889704694126
3.55,-0.2648098823470888
3.6,-1.0333125994306638
3.65,-0.9362144101566604
3.7,-0.806711084551556
3.75,-0.96186828903263
3.8,0.9242849007155544
3.85,0.7519265695170267
3.9,0.2245931793338029
3.95,0.2594220207429665
4.0,-0.0972897640658927
4.05,0.4576759297125591
4.1,0.2462336853413327
4.15,-0.5612759096552077
4.2,-0.0090631103616347
4.25,0.228884659068549
4.3,-1.5454706015387334
4.35,-2.224147312694124
4.4,-1.216697179824443
4.45,-0.6846832815302052
4.5,-0.8531356960060915
4.55,-1.0285053631754153
4.6,0.4232278437411819
4.65,0.1060686040703766
4.7,-1.098166929013798
4.75,0.9162033815974828
4.8,0.4579129815439507
4.85,0.0685956731370482
4.9,1.2430915283702164
4.95,0.024098268885343
5.0,3.265174460591784
5.05,3.999727960389304
5.1,0.3654427111013951
5.15,0.4714158841296665
5.2,-1.7528585384502058
5.25,-0.2874040697350269
5.3,3.183119828010181
5.35,-0.3533755378250001
5.4,-1.0163805054636206
5.45,0.9118138650493216
5.5,0.247738128707844
5.55,-1.305516396026326
5.6,-0.8599853386138346
5.65,0.0198446617128226
5.7,-1.1350140156515118
5.75,1.378553013485397
5.8,3.915693126023473
5.85,1.8715973217435504
5.9,0.0171671821873982
5.95,0.2808710019911741
6.0,2.6355177351346666
6.05,2.472860810926982
6.1,2.16511396344032
6.15,4.806976354333204
6.2,2.0897506393720624
6.25,0.6669357492867292
6.3,4.074841118978215
6.35,4.062053015059672
6.4,1.076276913551319
6.45,-2.6982538022161338
6.5,0.1649194103410209
6.55,1.3617443827758382
6.6,0.410333152524288
6.65,3.6163327544291937
6.7,0.919919926801352
6.75,2.453019454502994
6.8,4.372913411448014
6.85,2.695548465287994
6.9,5.201514972716243
6.95,2.144015594426944
7.0,4.258126967884063
7.05,7.809177097495752
7.1,2.696693665368288
7.15,3.2990725407207475
7.2,4.77875895571916
7.25,3.192149189997445
